district_id,district_name,state_code,state_name,division,headquarters,approx_population_2011,area_sq_km,urbanisation_level,cybercrime_complaint_weight
MH-GAD,Gadchiroli,MH,Maharashtra,Nagpur,Gadchiroli,1072942,14412,low,0.01
MH-GON,Gondia,MH,Maharashtra,Nagpur,Gondia,1322507,5234,low,0.01
MH-HIN,Hingoli,MH,Maharashtra,Aurangabad,Hingoli,1177345,4526,low,0.01
MH-JAL,Jalgaon,MH,Maharashtra,Nashik,Jalgaon,4229917,11765,medium,0.0249
MH-JAA,Jalna,MH,Maharashtra,Aurangabad,Jalna,1959046,7687,low,0.0115
MH-KOL,Kolhapur,MH,Maharashtra,Pune,Kolhapur,3876001,7685,medium,0.0228
MH-LAT,Latur,MH,Maharashtra,Aurangabad,Latur,2454196,7157,low,0.0144
MH-MCT,Mumbai City,MH,Maharashtra,Konkan,Mumbai,3085411,157,high,0.0454
MH-MSB,Mumbai Suburban,MH,Maharashtra,Konkan,Bandra,9356962,446,high,0.1377
MH-NAG,Nagpur,MH,Maharashtra,Nagpur,Nagpur,4653570,9892,high,0.0438
MH-NAN,Nanded,MH,Maharashtra,Aurangabad,Nanded,3361292,10528,low,0.0198
MH-NAR,Nandurbar,MH,Maharashtra,Nashik,Nandurbar,1648295,5955,low,0.01
MH-NAS,Nashik,MH,Maharashtra,Nashik,Nashik,6107187,15582,medium,0.0575
MH-OSM,Osmanabad,MH,Maharashtra,Aurangabad,Osmanabad,1657576,7569,low,0.01
MH-PAL,Palghar,MH,Maharashtra,Konkan,Palghar,2990116,5344,high,0.0176
MH-PAR,Parbhani,MH,Maharashtra,Aurangabad,Parbhani,1836086,6251,medium,0.0108
MH-PUN,Pune,MH,Maharashtra,Pune,Pune,9429408,15643,high,0.1388
MH-RAI,Raigad,MH,Maharashtra,Konkan,Alibag,2634200,7152,medium,0.0155
MH-RAT,Ratnagiri,MH,Maharashtra,Konkan,Ratnagiri,1615069,8208,low,0.01
MH-SAN,Sangli,MH,Maharashtra,Pune,Sangli,2822143,8578,low,0.0166
MH-SAT,Satara,MH,Maharashtra,Pune,Satara,3003741,10480,low,0.0177
MH-SIN,Sindhudurg,MH,Maharashtra,Konkan,Oros,849651,5207,low,0.01
MH-SOL,Solapur,MH,Maharashtra,Pune,Solapur,4317756,14895,medium,0.0254
MH-THA,Thane,MH,Maharashtra,Konkan,Thane,8070032,4214,high,0.1187
MH-WAR,Wardha,MH,Maharashtra,Nagpur,Wardha,1300774,6310,medium,0.01
MH-WAS,Washim,MH,Maharashtra,Amravati,Washim,1197160,5150,low,0.01
MH-YAV,Yavatmal,MH,Maharashtra,Amravati,Yavatmal,2772348,13582,low,0.0163
UP-AGR,Agra,UP,Uttar Pradesh,Agra,Agra,4418797,4041,medium,0.028
UP-ALI,Aligarh,UP,Uttar Pradesh,Aligarh,Aligarh,3673889,3788,medium,0.0145
UP-AMB,Ambedkar Nagar,UP,Uttar Pradesh,Ayodhya,Akbarpur,2397888,2350,low,0.01
UP-AME,Amethi,UP,Uttar Pradesh,Ayodhya,Gauriganj,2050133,2329,low,0.01
UP-AMR,Amroha,UP,Uttar Pradesh,Moradabad,Amroha,1840221,2249,low,0.01
UP-AUR,Auraiya,UP,Uttar Pradesh,Kanpur,Auraiya,1379545,2016,low,0.01
UP-AYO,Ayodhya,UP,Uttar Pradesh,Ayodhya,Ayodhya,2470996,2522,low,0.01
UP-AZA,Azamgarh,UP,Uttar Pradesh,Azamgarh,Azamgarh,4613913,4054,low,0.0183
UP-BAG,Bagpat,UP,Uttar Pradesh,Meerut,Baghpat,1303048,1321,low,0.01
UP-BAH,Bahraich,UP,Uttar Pradesh,Devipatan,Bahraich,3487731,2981,low,0.0138
UP-BAL,Ballia,UP,Uttar Pradesh,Azamgarh,Ballia,3239774,3349,low,0.0128
UP-BAR,Balrampur,UP,Uttar Pradesh,Devipatan,Balrampur,2148665,4408,low,0.01
UP-BAN,Banda,UP,Uttar Pradesh,Chitrakoot,Banda,1799410,4402,low,0.01
UP-BAI,Barabanki,UP,Uttar Pradesh,Ayodhya,Barabanki,3260699,4120,low,0.0129
UP-BAY,Bareilly,UP,Uttar Pradesh,Bareilly,Bareilly,4448359,2688,medium,0.0176
UP-BAS,Basti,UP,Uttar Pradesh,Basti,Basti,2464464,4561,low,0.01
UP-BHA,Bhadohi,UP,Uttar Pradesh,Mirzapur,Bhadohi,1715183,1646,low,0.01
UP-BIJ,Bijnor,UP,Uttar Pradesh,Moradabad,Bijnor,3682713,4262,low,0.0146
UP-BUD,Budaun,UP,Uttar Pradesh,Bareilly,Budaun,3127621,4234,low,0.0124
UP-BUL,Bulandshahr,UP,Uttar Pradesh,Meerut,Bulandshahr,3499171,4441,low,0.0139
UP-CHA,Chandauli,UP,Uttar Pradesh,Varanasi,Chandauli,1952756,2541,low,0.01
UP-CHI,Chitrakoot,UP,Uttar Pradesh,Chitrakoot,Chitrakoot,991730,3216,low,0.01
UP-DEO,Deoria,UP,Uttar Pradesh,Gorakhpur,Deoria,3100946,2540,low,0.0123
UP-ETA,Etah,UP,Uttar Pradesh,Aligarh,Etah,1774480,2431,low,0.01
UP-ETH,Etawah,UP,Uttar Pradesh,Kanpur,Etawah,1581810,2311,low,0.01
UP-FAR,Farrukhabad,UP,Uttar Pradesh,Kanpur,Fatehgarh,1885204,2181,low,0.01
UP-FAT,Fatehpur,UP,Uttar Pradesh,Prayagraj,Fatehpur,2632733,4152,low,0.0104
